_id;poster;name;weight;price;min_weight_for_order;final_price;dishes;hit;description;dishes_name;sentences;quantity
33;grilled_shrimp;Креветки гриль;100;120;100;120;GRILLED_FISH;false;Любителі морепродуктів приходять у захват від наших креветок на мангалі. Вся справа в маринаді, який зберігає свій смак і аромат після приготування. Креветки виходять хрусткими і дуже соковитими, рекомендуємо спробувати. Подаються з вершковим соусом. ;Риба на мангалі;null;1
34;potatoes_with_bacon;Картопля з салом;100;60;100;60;GRILLED_VEGETABLES;false;Запечена на мангалі картопля із золотистою скоринкою, сало з прожилками м'яса і ароматна зелень. Смак цієї страви змусить вас ностальгувати за дитинством і юності. ;Овочі на мангалі;null;1
35;vegetable_set;Сет овочевий;1500;500;1500;500;GRILLED_VEGETABLES;false;null;Овочі на мангалі;null;1
36;grilled_eggplants;Баклажани на мангалі;100;35;100;35;GRILLED_VEGETABLES;true;Свіжий баклажан витриманий у фірмовому маринаді з прованськими травами і обсмажений на мангалі. ;Овочі на мангалі;null;1
37;pepper_the_grill;Перець на мангалі;100;35;100;35;GRILLED_VEGETABLES;false;Свіжий перець витриманий у фірмовому маринаді з прованськими травами і часточками обсмажену на мангалі. ;Овочі на мангалі;null;1
38;zucchini_the_grill;Кабачки на мангалі;100;35;100;35;GRILLED_VEGETABLES;false;Свіжий кабачок нарізаний кільцями витриманий у фірмовому маринаді з прованськими травами. Обсмажений на мангалі без додавання борошна. ;Овочі на мангалі;null;1
39;grilled_tomatoes;Помідори на мангалі;100;35;100;35;GRILLED_VEGETABLES;true;Свіжі помідори витримані у фірмовому маринаді і запечені цілими на мангалі. Соковиті помідори гриль стануть прекрасним доповненням до шашлику. ;Овочі на мангалі;null;1
40;baked_eggplant_tomato_pepper;Запечені Баклажак / Помідор / Перець;100;35;100;35;GRILLED_VEGETABLES;false;Свіжий баклажан, помідор і перець видержані в фірмовому маринаді з прованськими травами і запечені на мангалі. Пікантний і дуже соковитий гарнір чудово поєднується з будь-яким видом шашлику. ;Овочі на мангалі;null;1
41;grilled_potatoes;Картопля на мангалі ;100;25;100;25;GRILLED_VEGETABLES;true;Картопля нарізана половинками витримані у фірмовому маринаді з прованськими травами і запечений на мангалі. Приготування на вогні надає простій картоплі неймовірний аромат і смак, від якого залишаться в захваті ви, ваша сім'я і гості. ;Овощи на мангале;null;1
42;mushrooms_the_grill;Гриби на мангалі;100;30;100;30;GRILLED_VEGETABLES;false;Гриби печериці витримані в фірмовому з прованськими травами і обсмажені на мангалі. Потемнілі від жару і м'які всередині грибочки, вони прекрасно поєднуються з будь-яким видом м'яса і доповнюють овочевий гарнір. ;Овочі на мангалі;null;1
43;corn;Кукурудза;100;30;200;60;GRILLED_VEGETABLES;false;Ніжна кукурудза без додавання приправ і маринаду обсмажена на мангалі, в кінці приготування змазана вершковим маслом. Відмінно підійде як для дорослих, так і для дітей. ;Овочі на мангалі;null;1
44;khachapuri_with_meat;Хачапурі з м'ясом;400;60;400;60;KHACHAPURI;false;Конвертик з листкового тіста з соковитою м'ясною начинкою. Хрустке грузинське хачапурі стане для вас відкриттям нашої кухні. Доставляємо гарячим! ;Хачапурі;null;1
45;khachapuri_with_cheese;Хачапурі з сиром;400;50;400;50;KHACHAPURI;false;Конвертик з листкового тіста з начинкою з сиру сулугуні. Хрустке грузинське хачапурі стане для вас відкриттям нашої кухні. Доставляємо гарячим! ;Хачапурі;null;1
46;cubes;Кубдарі;500;150;500;150;KHACHAPURI;true;Грузинський коржик з дріжджового тіста з начинкою з фаршу власного приготування. Кубдарі виходить дуже повітряним, а начинка зберігає всю свою соковитість. Ароматне блюдо вмить розлітається в компанії. ;Хачапурі;null;1
47;khachapuri_in_adjarian;Хачапурі по-Аджарський;700;130;700;130;KHACHAPURI;true;Коржик на дріжджовому тесті має форму розкритого конверта-човника з товстими м'якими стінками. Всередині - щедра порція розплавленого тягучого сиру сулугуні та свіже куряче яйце з свернувшимся білком і м'яким жовтком. Дуже смачне, ситне і ароматне блюдо грузинської кухні, обов'язково спробуйте його в нашому виконанні! ;Хачапурі;null;1
48;khachapuri_in_mengrel;Хачапурі по-Менгрельскі;1000;150;1000;150;KHACHAPURI;true;null;Хачапурі;null;1
49;dolma;Долма;200;70;200;70;HOT_SNACK;false;null;Гарячі закуски;null;1
50;khinkali_with_meat;Хінкалі з м'ясом;1;20;1;20;HOT_SNACK;false;null;Гарячі закуски;null;1
51;khinkali_with_cheese;Хінкалі з сиром;1;18;1;18;HOT_SNACK;false;null;Гарячі закуски;null;1
52;assorted_fresh_vegetables;Асорті зі свіжих овочів;250;65;250;65;COLD_SNACKS;false;null;Холодні закуски;null;1
53;assorted_pickles;Асорті з солінь;380;85;380;85;COLD_SNACKS;false;null;Холодні закуски;null;1
54;greens;Зелень;100;30;100;30;COLD_SNACKS;false;null;Холодні закуски;null;1
55;homemade_lavash;Лаваш домашній;1;40;1;40;PITA;false;null;Лаваш;null;1
56;lavash_shots;Лаваш шоти;1;40;1;40;PITA;false;null;Лаваш;null;1
57;lavash_khorovats;Лаваш хоровац;1;55;1;55;PITA;false;null;Лаваш;null;1
58;lavash_armenian;Лаваш Вірменський;1;25;1;25;PITA;false;null;Лаваш;null;1
59;bbq_sauce;Соус Шашличний;100;25;100;25;SAUCES;false;null;Соуси;null;1
60;satsebeli_sauce;Соус Сацебелі;100;25;100;25;SAUCES;false;null;Соуси;null;1
61;narsharab;Наршараб;50;30;50;30;SAUCES;false;null;Соуси;null;1
62;tartar_sauce;Соус Тартар;100;25;100;25;SAUCES;false;null;Соуси;null;1
63;garlic_sauce;Соус Часниковий;100;25;100;25;SAUCES;false;null;Соуси;null;1
64;teriyaki_sauce;соус Теріякі;50;30;50;30;SAUCES;false;null;Соуси;null;1
65;pilaf;Плов;200;80;200;80;GARNISH;false;null;Гарніри;null;1
66;french_fries;Картопля Фрі;150;55;150;55;GARNISH;false;null;Гарніри;null;1
67;rustic_potatoes;Картопля по-Селянськи;200;45;200;45;GARNISH;false;null;Гарніри;null;1
68;adyghe_cheese;Сир Адигейський;100;50;100;50;GARNISH;false;null;Гарніри;null;1
69;mashed_potatoes;Картопляне пюре;200;40;200;40;GARNISH;false;null;Гарніри;null;1
70;rice_with_vegetables;Рис з овочами;250;60;250;60;GARNISH;false;null;Гарніри;null;1
71;draniki;Деруни;200;50;200;50;GARNISH;false;null;Гарніри;null;1
72;caprese_salad;Салат Капрезе;250;110;250;110;SALAD;false;null;Салати;null;1
73;tongue_salad;Салат з язиком;250;150;250;150;SALAD;false;null;Салати;null;1
74;caprice_salad;Салат Каприз;250;120;250;120;SALAD;false;null;Салати;null;1
75;salad_with_chicken_and_asparagus;Салат теплий з куркою і спаржею;250;170;250;170;SALAD;false;null;Салати;null;1
76;salad_with_veal;Салат теплий з телятиною;250;170;250;170;SALAD;false;null;Салати;null;1
77;grilled_vegetables_salad;Салат овочі на мангалі;250;95;250;95;SALAD;false;null;Салати;null;1
78;vegetable_salad;Салат овочевий;250;95;250;95;SALAD;false;null;Салати;null;1
79;greek_salad;Салат Грецький;250;100;250;100;SALAD;false;null;Салати;null;1
80;caesar_salad;Салат Цезар;250;120;250;120;SALAD;false;null;Салати;null;1
81;baked_vegetables;Запечені овочі;250;95;250;95;SALAD;false;null;Салати;null;1
82;uzvar;Узвар;1;70;1;70;BEVERAGES;false;null;Напої;null;1
83;bonaqua;Bonaqua 0.5 Л;0.5;25;0.5;25;BEVERAGES;false;null;Напої;null;1
84;bonaqua;Bonaqua 1 Л;1;40;1;40;BEVERAGES;false;null;Напої;null;1
85;borjomi;Borjomi 0.5 Л;0.5;60;0.5;60;BEVERAGES;false;null;Напої;null;1
86;coca_cola;Coca Cola 0.5 Л;0.5;25;0.5;25;BEVERAGES;false;null;Напої;null;1
87;coca_cola;Coca Cola 1 Л;1;40;1;40;BEVERAGES;false;null;Напої;null;1
88;fanta;Fanta 0.5 Л;0.5;25;0.5;25;BEVERAGES;false;null;Напої;null;1
89;fanta;Fanta 1 Л;1;40;1;40;BEVERAGES;false;null;Напої;null;1
90;sprite;Sprite 0.5 Л;0.5;25;0.5;25;BEVERAGES;false;null;Напої;null;1
91;sprite;Sprite 1 Л;1;40;1;40;BEVERAGES;false;null;Напої;null;1
92;jaffa_juice_orange;Сік JAFFA Апельсин;1;60;1;60;BEVERAGES;false;null;Напої;null;1
93;jaffa_juice_tomato;Сік JAFFA Томатний;1;60;1;60;BEVERAGES;false;null;Напої;null;1
94;ayran_025l;Айран 0.25 Л;0.25;20;0.25;20;BEVERAGES;false;null;Напої;null;1
95;ayran_05l;Айран 0.5 Л;0.5;40;0.5;40;BEVERAGES;false;null;Напої;null;1
96;pickled_lamb;Баранина маринована;100;60;100;60;PICKLED_MEAT;false;null;Мариноване м'ясо;null;1
97;pickled_veal;Телятина биток маринована;100;55;100;55;PICKLED_MEAT;false;null;Мариноване м'ясо;null;1
98;pickled_chicken_wings;Курячі крила мариновані;100;35;100;35;PICKLED_MEAT;false;null;Мариноване м'ясо;null;1
99;pickled_quail;Перепелиця маринована;100;40;100;40;PICKLED_MEAT;false;null;Мариноване м'ясо;null;1
100;pickled_pork_neck;Свинячий ошийок маринований;100;40;100;40;PICKLED_MEAT;false;null;Мариноване м'ясо;null;1
101;pickled_chalagach;Чалагач маринований;100;40;100;40;PICKLED_MEAT;false;null;Мариноване м'ясо;null;1
102;pickled_chicken_fillet;Куряче філе мариноване;100;35;100;35;PICKLED_MEAT;false;null;Мариноване м'ясо;null;1
103;mushroom_cream_soup;Грибний Крем-суп;300;60;300;60;FIRST_MEAL;false;null;Перші страви;null;1
104;chicken_broth;бульйон курячий;300;40;300;40;FIRST_MEAL;false;null;Перші страви;null;1
105;borscht;Борщ;300;60;300;60;FIRST_MEAL;false;null;Перші страви;null;1
106;soup_kharcho;Суп Харчо;300;60;300;60;FIRST_MEAL;false;null;Перші страви;null;1
107;shurpa;Шурпа;300;120;300;120;FIRST_MEAL;false;null;Перші страви;null;1
108;solynka;Солянка;300;60;300;60;FIRST_MEAL;false;null;Перші страви;null;1
