_id;poster;name;weight;price;min_weight_for_order;final_price;dishes;hit;description;dishes_name;sentences;quantity
19;set_for_company_of_thirty_people;Сет для компании 30 человек;6400;4500;6400;4500;SETS;false;Ароматный, вкусный и разнообразный сет для вашей компании! Мы создали огромную порцию мяса и овощей, в котором найдётся практически все: от копченого ассорти собственного приготовления до ароматной картошечки и овощей прямиком с огня. В состав сета входит: коплености ассорти 800гр., чалагач 500гр., каре телятины 500гр., каре баранины 500гр., шашлык из свинины 1000гр., шашлык из курицы 1000гр., картофель на мангале 1000гр., грибы на мангале 1000гр., овощи гриль (помидор, перец, баклажан/кабачок) 500гр.;Сеты;48,52,65;1
20;set_for_company_of_fifteen_people;Сет для компании 15 человек;3000;1900;3000;1900;SETS;false;Мясной сет для большой компании – это 3,5 килограмма мяса на огне, которые не оставят никого голодным. Здесь придется набор каждому по вкусу: и куриное мясо, и свинина, и баранина, и телятина. В сет также входят соусы, лаваш и картофель. Только отборное мясо с перчиком, солью и луком, умелая обжарка и быстрая доставка. Состав сета: ципленок табака 1шт., чалагач 500гр., каре баранины 500гр., ребра терияки 500гр., люля-кебаб куриный 200гр., люля-кебаб телятина 400гр., люля-кебаб баранина 400гр., овощи на мангле 500гр.: помидор, перец, баклажан/кабачок), соус.;Сеты;41,42,48;1
21;set_for_company_of_ten_people;Сет для компании 10 человек;2000;1450;2000;1450;SETS;false;Сет для большой компании – это 2,3 кг отборного мяса, ребрышек, соуса и овощей, которые понравятся каждому и никто не останется голодным. Быстро приготовим мясо на огне, приправлено перцем, солью и с секретным ингредиентом. В заказ положим салфетки и одноразовую посуду (по необходимости). В состав сета входит: чалагач 500гр, свинина 500гр, ребра терияки 500гр, овощи гриль 500гр: помидор, перец, бакладан/кабачок), соус.;Сеты;22,42,48;1
22;promotion_1;Акция 1+1 (свинина + курица + лаваш + соус);1;795;1;795;SETS;false;2 килограмма шашлыка (1 кг курицы + 1кг свинины), такого нежного внутри и хрустящего снаружи, при заказе бесплатно комплектуем лаваш и соус. Даем одноразовую посуду и салфетки (по необходимости). Жарим на дровах фруктовых пород, минимум специй, чтобы почувствовать вкус самого мяса! Быстрая доставка по Киеву и пригороду (хоть в офис, хоть на природу).;Сеты;35,48,55,67;1
23;promotion_2;Акция 1+1 (2 кг свинины + лаваш + соус);1;895;1;795;SETS;false;Целых 2 килограмма свиного шашлыка для компании. В составе только свиной ошеек, лук, соль, перец, секретный ингредиент. Правильная обжарка, которая сохраняет сочность внутри и хрустящую ароматную корочку. При заказе акционного шашлыка дарим лаваш и соус + одноразовая посуда и салфетки (по необходимости). Быстрая доставка по Киеву.;Сеты;35,48,55,34;1
24;lula_kebab_potato;Люля-кебаб картофельный;200;70;200;70;LYULYAKEBAB;false;Постный люля-кебаб из картофеля прекрасная альтернатива классическому мясному люля-кебаб. Блюдо получается сочным и нежным, сочетается с салатами и мясом.;Люля-кебаб;4,40,59;1
25;lula_kebab_chicken;Люля-кебаб куриный;200;90;200;90;LYULYAKEBAB;true;Невероятно нежный куриный люля-кебаб с ароматными кавкаскими специями, добавлением свиного сала и лука. Приготовлен на мангале, подается с армянским лавашом.;Люля-кебаб;41,58,66;1
26;lula_kebab_veal;Люля-кебаб из телятины;200;95;200;95;LYULYAKEBAB;true;Классический люля-кебаб из телятины приготовлен из рубленного мяса, лука и ароматных кавказских специй. Сочность, вкус и нежность мясной колбаски не оставят вас равнодушным. Подается с армянским лавашом.;Люля-кебаб;60,58,40,42;1
27;lula_kebab_lamb;Люля-кебаб из баранины;200;95;200;95;LYULYAKEBAB;false;Люля-кебаб из традиционной для Кавказа баранины. Приготовлен из мелкорубленной мякоти баранины, лука, ароматных специй и обжарен на мангале. Подается с армянским лавашом.;Люля-кебаб;58,59,40;1
28;dorado;Дорадо;1;300;1;300;GRILLED_FISH;false;Свежая дорадо выдержанная в фирменном маринаде и обжаренная на мангале. В процессе приготовления на рыбе образовывается хрустящая корочка, которая помогает сохранить мясо внутри сочным и нежным. Подается с лимоном и свежим укропом.;Рыба на мангале;70,62,40;1
29;seabass;Сибас;1;300;1;300;GRILLED_FISH;false;Свежий сибас выдержанный в фирменном маринаде и приготовленный на мангале. Сочная рыбка с хрустящей корочкой точно не оставит вас равнодушным! Подается с лимоном и свежим укропом. ;Рыба на мангале;43,41,70,62;1
30;fried_mackerel;Скумбрия жареная;1;125;1;125;GRILLED_FISH;true;Такую скумбрию вы еще не пробовали! Свежая рыба выдержана в фирменном маринаде и обжарена на фруктовых углях. Вы будете в восторге от вкуса, сочности и аромата нашей рыбки. Подается с лимоном и свежим укропом.;Рыба на мангале;62,69,42;1
31;salmon_steak;Стейк из семги;100;125;100;125;GRILLED_FISH;false;Свежий стейк семги выдержанный в фирменном маринаде и приготовленный на мангале. Мы очень нежно обжариваем рыбу, чтобы она сохранила максимальное количество полезных веществ и оставалась сочной. Подается с лимоном и свежим укропом. ;Рыба на мангале;62,48,77;1
32;trout_steak;Форель стейк;100;135;100;135;GRILLED_FISH;false;Стейк свежей форели выдержанный в фирменном маринаде и обжаренный на мангале. Рыба очень нежно обжаривается на углях, благодаря чему сохраняет максимальное количество полезных  веществ и сочность. Подается с лимоном и свежим укропом. ;Рыба на мангале;79,62,70;1
33;grilled_shrimp;Креветки гриль;100;120;100;120;GRILLED_FISH;false;Любители морепродуктов приходят в восторг от наших креветок на мангале. Все дело в маринаде, который сохраняет свой вкус и аромат после приготовления. Креветки получаются хрустящими и очень сочными, рекомендуем попробовать. Подаются со сливочным соусом.;Рыба на мангале;57,62;1
34;potatoes_with_bacon;Картофель с салом;100;60;100;60;GRILLED_VEGETABLES;false;Запеченный на мангале картофель с золотистой корочкой, сало с прожилками мяса и ароматная зелень. Вкус этого блюда заставит вас ностальгировать по детству и юности.;Овощи на мангале;4,8,9,59;1
35;vegetable_set;Сет овощной;1500;500;1500;500;GRILLED_VEGETABLES;false;Овощной сет для большой и маленькой компании, а также – для тех, кто придерживается правильного питания и вегетарианцев. Наши овощи сохраняют всю сочность и пропитываются дымкой с дров фруктовых пород, получаются очень ароматными и вкусными. Идеально подойдут как гарнир, так и отдельное блюдо. В состав сета входит: баклажан 200гр., кабачок 200гр., помидор 200гр., перец 200гр., грибы 200гр., кукуруза 200гр., спаржа 200гр., крымский лук 200гр.;Овощи на мангале;2,3,48;1
36;grilled_eggplants;Баклажаны на мангале;100;35;100;35;GRILLED_VEGETABLES;true;Свежий баклажан выдержанный в фирменном маринаде с прованскими травами и обжаренный на мангале. ;Овощи на мангале;4,5,6;1
37;pepper_the_grill;Перец на мангале;100;35;100;35;GRILLED_VEGETABLES;false;Свежий перец выдержанный в фирменном маринаде с прованскими травами и дольками обжаренный на мангале.;Овощи на мангале;7,8,9;1
38;zucchini_the_grill;Кабачки на мангале;100;35;100;35;GRILLED_VEGETABLES;false;Свежий кабачок нарезанный кольцами выдержан в фирменном маринаде с прованскими травами. Обжарен на мангале без добавления муки.;Овощи на мангале;10,4,5;1
39;grilled_tomatoes;Помидоры на мангале;100;35;100;35;GRILLED_VEGETABLES;true;Свежие помидоры выдержаны в фирменном маринаде и запеченные целыми на мангале. Сочные помидоры гриль станут прекрасным дополнением к шашлыку. ;Овощи на мангале;4,8,9;1
40;baked_eggplant_tomato_pepper;Запеченные Баклажак/ Помидор/ Перец;100;35;100;35;GRILLED_VEGETABLES;false;Свежие баклажан, помидор и перец выдержаны в фирменном маринаде с прованскими травами и запеченные на мангале. Пикантный и очень сочный гарнир прекрасно сочетается с любым видом шашлыка. ;Овощи на мангале;2,3,26,27;1
41;mushrooms_the_grill;Грибы на мангале;100;30;100;30;GRILLED_VEGETABLES;true;Грибы шампиньоны выдержаны в фирменном с прованскими травами и обжарены на мангале. Потемневшие от жара и мягкие внутри грибочки, они прекрасно сочетаются с любым видом мяса и дополняют овощной гарнир. ;Овощи на мангале;2,3,25;1
42;grilled_potatoes;Картофель на мангале;100;25;100;25;GRILLED_VEGETABLES;false;Картофель нарезанный половинками выдержан в фирменном маринаде с прованскими травами и запеченный на мангале. Приготовление на огне придает простому картофелю невероятные аромат и вкус, от которого останутся в восторге вы, ваша семья и гости. ;Овощи на мангале;4,5,6,40;1
43;corn;Кукуруза;100;30;200;60;GRILLED_VEGETABLES;false;Нежная кукуруза без добавления приправ и маринада обжарена на мангале, в конце приготовления смазана сливочным маслом. Отлично подойдет как для взрослых, так и для детей.;Овощи на мангале;9,28,29;1
44;khachapuri_with_meat;Хачапури с мясом ;400;60;400;60;KHACHAPURI;false;Конвертик из слоенного теста с сочной мясной начинкой. Хрустящее грузинское хачапури станет для вас открытием нашей кухни. Доставляем горячим!;Хачапури;40,41,103;1
45;khachapuri_with_cheese;Хачапури с сыром;400;50;400;50;KHACHAPURI;false;Конвертик из слоенного теста с начинкой из сыра сулугуни. Хрустящее грузинское хачапури станет для вас открытием нашей кухни. Доставляем горячим!;Хачапури;4,8,9;1
46;cubes;Кубдари;500;150;500;150;KHACHAPURI;true;Грузинский коржик из дрожжевого теста с начинкой из фарша собственного приготовления. Кубдари получается очень воздушным, а начинка сохраняет всю свою сочность. Ароматное блюдо вмиг разлетается в компании. ;Хачапури;52,53,40;1
47;khachapuri_in_adjarian;Хачапури по-Аджарски;700;130;700;130;KHACHAPURI;true;Лепешка на дрожжевом тесте имеет форму раскрытого конверта-лодочки с толстыми мягкими стенками. Внутри — щедрая порция расплавленного тягучего сыра сулугуни и свежее куриное яйцо со свернувшимся белком и мягким желтком. Очень вкусное, сытное и ароматное блюдо грузинской кухни, обязательно попробуйте его в нашем исполнении!;Хачапури;1,2,3;1
48;khachapuri_in_mengrel;Хачапури по-Менгрельски;1000;150;1000;150;KHACHAPURI;true;Секрет, который отличает хачапури по-Менгрельски от других - это двойной сыр. Сулугуни находится как внутри, так и снаружи хачапури. Кажется, что ешь сыр с лепешкой, а не лепешку с сыром. Нежный солоноватый сыр тает во время выпикания и пропитывает поры теста, отчего у блюда неповторимый вкус. При этом сыр еще и создает корочку сверху, коотрая приятно хрустит.;Хачапури;1,2,3;1
49;dolma;Долма;200;70;200;70;HOT_SNACK;false;Долма - это голубцы в виноградных листьях, начиненные рисом с фаршем из баранины и телятины. Виноградный лист придает блюду кислую нотку, что делает вкус оригинальным. Также благодаря листям голубцы отличаются небольшим размером и аккуратной формой. Мы знаем как приготовить долму правильно и и вкусно. Добавляйте блюдо в корзину и  мы привезем Ваш заказ в указанное время.;Горячие закуски;55,63;1
50;khinkali_with_meat;Хинкали с мясом;1;20;1;20;HOT_SNACK;false;Хинкали с мясом – это традиционное блюдо грузинской кухни. Мы готовим его по особому рецепту с самой Грузии, где сохраняем пропорции теста и мяса, добавляем секретный ингредиент, благодаря которому тесто не разваривается, а фарш внутри остается очень нежный и сочный. Рекомендуем попробовать с чесночным соусом.;Горячие закуски;40,52,59;1
51;khinkali_with_cheese;Хинкали с сыром;1;18;1;18;HOT_SNACK;false;Традиционные грузинские хинкали с нежным сыром сулугуни. Наши хинкали отличаются большим количеством сыра внутри, который остается тянучим, а тесто упругое и не разваривается. Рекомендуем попробовать с чесночным соусом.;Горячие закуски;40,52,41;1
52;assorted_fresh_vegetables;Ассорти из свежих овощей;250;65;250;65;COLD_SNACKS;false;Ассорти из свежих овощей – это тот ингредиент, без которого не обойтись на застолье, особенно – на природе. Только свежие овощи, бережно обмыты, нарезаны и такие хрустящие. На тарелке помидоры, огурцы, болгарский перчик и зелень.;Холодные закуски;4,5,8,9;1
53;assorted_pickles;Ассорти из солений;380;85;380;85;COLD_SNACKS;false;Когда хочется чего-то кисло-сладкого во время пикника, то для этого будут кстати соленья. Мы самостоятельно маринуем огурцы, помидоры и капусту, которые входят в набор. Овощи в меру соленые, очень сочные и хрустящие.;Холодные закуски;4,5,8,9;1
54;greens;Зелень;100;30;100;30;COLD_SNACKS;false;Свежая зелень всегда отлично дополняет блюда из мяса, овощей и гарниры. Укроп, петрушка и базилик - такой набор выручит в любой ситуации. А какой же аромат у этой зелени!;Холодные закуски;1,2,3;1
55;homemade_lavash;Лаваш домашний;1;40;1;40;PITA;false;Свежеиcпеченный домашний лаваш прямиком из печи. Мы готовим лаваш из дрожжевого теста, благодаря чему он получается очень воздушным и ароматным. Идеально сочетается с мясом и гарнирами, можно брать вместо хлеба.;Лаваш;4,5,27;1
56;lavash_shots;Лаваш шоты;1;40;1;40;PITA;false;Лаваш шоты или грузинский хлеб – что-то действительно новое для украинской кухни. Хлеб у виде лодочки с дыркой посредине. Очень легкий и пористый, благодаря своему рецепту теста, который мы позаимствовали из самой Грузии. Готовится в печи, чтобы пропитаться ароматом дров фруктовых пород.;Лаваш;7,10,12;1
57;lavash_khorovats;Лаваш хоровац;1;55;1;55;PITA;false;Еще одно дополнение к шашлыку, первым блюдам и гарнирам – лаваш хоровац. Хоровац представляет из себя тонкий листовой лаваш на основе пресного теста с начинкой из сыра сулугуни и зелени. Очень вкусный и ароматный станет прекрасным дополнением к любому застолью.;Лаваш;9,26,32;1
58;lavash_armenian;Лаваш Армянский;1;25;1;25;PITA;false;Армянский лаваш - это тонкая пресная пшеничная лепешка, которая считается одним из символов армянской и грузинской кухни. Лаваш получается мягким и прямо тает во рту - но не заглушает вкус основного блюда, а лишь раскрывает его! Шашлык, соус и лаваш - три компонента вкусного ужина, которые друг без друга даже представлять не нужно.;Лаваш;25,26,60;1
59;bbq_sauce;Соус Шашлычный;100;25;100;25;SAUCES;false;Фирменный шашлычный соус на томатной основе с добавлением измельченных лука, болгарского перца, зелени и кавказской аджики. Наш шеф-повар знает, как приготовить шашлычный соус, чтобы он понравился даже требовательным гурманам. В меру острый и пряный он отлично дополнит вкус мяса.;Соусы;4,5,8;1
60;satsebeli_sauce;Соус Сацебели;100;25;100;25;SAUCES;false;Традиционный грузинский соус на томатной основе с кусочками мелко нарезанных болгарского перца, лука, зелени и чеснока. Пряные кавказские приправы и кислинка от перца и кинзы идеально сочетаются с шашлыком и лавашом.;Соусы;6,10,16;1
61;narsharab;Наршараб;50;30;50;30;SAUCES;false;Густой, насыщенный гранатовый соус с добалением пряных специй: корица, базилик, лавровый лист, кориандр и перец - это только некоторые из них. Кисло-сладкий, чуть островатый соус сам по себе вывывает аппетит, но главное – для мясных блюд, и тем более для шашлыка это – настоящий подарок. Ведь такой соус раскрывает вкус самого блюда, приятно оттеняет аромат маринада, а в сочетании с сочными видами мяса превратит даже обычный обед в изысканную трапезу, которая запомнится надолго.;Соусы;4,6,10;1
62;tartar_sauce;Соус Тартар;100;25;100;25;SAUCES;false;Соус на основе домашнего майонезного соуса с кусочками соленого огурца, укропа и соком лимона. Тартар оживляет любое блюдо и придает ему пикантности. Отлично подходит к рыбе и шашлыку.;Соусы;28,29,33;1
63;garlic_sauce;Соус Чесночный;100;25;100;25;SAUCES;false;Соус на основе домашнего майонезного соуса с тертым чесноком и миксом зелени станет для вас настоящим открытием. Такого нежного чесночного соуса вы еще не пробовали, а все благодаря идеальным пропорциям ингредиентов. Он отлично подойдет для шашлыка, овощей, лаваша и других блюд. Рекомендуем попробовать!;Соусы;35,49,71;1
64;teriyaki_sauce;Соус Терияки;50;30;50;30;SAUCES;false;Соус на основе соевого соуса с медом, имбирем и чесноком. Терияки подходит к большинству блюд из мяса и гарниров (картофель, овощи, холодные закуски, рыба), придает блюдам сладко-соленый вкус и нотку пикантности.;Соусы;11,15,4;1
65;pilaf;Плов;200;80;200;80;GARNISH;false;Ароматный плов со свиным ошейком и нутом. Богатый на мясо и овощи гарнир, с рассыпчатым рисом басмати и приготовленный на костре, плов приятно удивит вас и ваших гостей своим вкусом и ароматом.;Гарниры;52,53,59;1
66;french_fries;Картошка Фри;150;55;150;55;GARNISH;false;Самый популярный гарнир среди наших клиентов – картофель фри. Это блюдо универсально для любой компании. Наш картофель фри получается хрустящим снаружи и «мясистым» внутри, без лишнего масла. А при застывании остается нежным. Добавьте любимый соус и наслаждайтесь вкусом.;Гарниры;9,25,63;1
67;rustic_potatoes;Картофель по-Деревенски;200;45;200;45;GARNISH;false;Отборный картофель нарезанный дольками и обжаренный во фритюре. С солью, чесночком и зеленью он приобретает настоящий деревенский вкус. Отлично сочетается со всеми соусами и шашлыком.;Гарниры;4,8,9;1
68;adyghe_cheese;Сыр Адыгейский;100;50;100;50;GARNISH;false;Адыгейский сыр выдержанный в фирменном маринаде с прованскими травами и обжаренный небольшими ломтиками на мангале. Сыр получается с ароматным дымком, вкусным и просто идеальным с соусом терияки.;Гарниры;28,31,2,3;1
69;mashed_potatoes;Картофельное пюре;200;40;200;40;GARNISH;false;Классический гарнир – это нежное картофельное пюре. Мы готовим пюре с добавлением сливочного масла, при охлаждении пюре не затвердевает, а остается таким же воздушным и ароматным.;Гарниры;4,12,13;1
70;rice_with_vegetables;Рис с овощами;250;60;250;60;GARNISH;false;Вкусный, легкий и ароматный гарнир - это рис с овощами. Наш рис получается нежным, рассыпчастым и с большим количеством овощей: морковь, болгарский перец, баклажаны, зеленый горошек, кукуруза и специи.;Гарниры;30,32;1
71;draniki;Драники;200;50;200;50;GARNISH;false;Драники с хрустящей корочкой и нежной сметанкой – это еда Богов. Готовим на основе картофеля, соли, перчика и с небольшим количеством муки. Картофельные драники получаются тоненькими, внутри они мягкие, а снаружи покрыты золотистой корочкой. Подаются со сметаной.;Гарниры;4,8,9;1
72;caprese_salad;Салат Капрезе;250;110;250;110;SALAD;false;Легкий итальянский салат, в котором нет ничего лишнего – капрезе. Только мягкая моцарелла, бережно нарезанная слайсами средней толщины, свежие помидоры, оливковое масло и приправы. Настоящая закуска и отдельное блюдо, не калорийное и очень легкое.;Салаты;28,29;1
73;tongue_salad;Салат с языком;250;150;250;150;SALAD;false;В нашем ассортименте можно найти много вкусных блюд, одним из самых не классических является салат с языком. Он сделан со свежей хрустящей зелени, сочных помидоров, огурцов, с добавлением перепелиных яиц и тоненькой соломки говяжего языка. Заправлен ароматным медово-горчичным соусом. Очень вкусно!;Салаты;null;1
74;caprice_salad;Салат Каприз;250;120;250;120;SALAD;false;Очень сытный и вкусный салат Каприз. В составе куриное филе, яйцо, картофель, горошек, морковь, соленый огурец, заправка и специи. Такой салат очень эффективно утолит голод как у мужчин, так и у женщин. ;Салаты;null;1
75;salad_with_chicken_and_asparagus;Салат теплый с курицей и спаржей;250;170;250;170;SALAD;false;Если вы в поисках вкусного и сытного обеда, то теплый салат с курицей и спаржей идеально подойдут для этой миссии. Нежное куриное мясо насытит и утолит голод, спаржа и другие овощи будут отлично дополнять мясо. Овощи остаются мягкими и напитанными сливочным соусом, кунжут добавляет блюду пикантности.;Салаты;null;1
76;salad_with_veal;Салат теплый с телятиной;250;170;250;170;SALAD;false;Теплый салат с телятиной и овощами – это очень сытное блюдо. Мясо телятины получается мягким и ароматным, обжаривается на сковородке. Овощи томятся на небольшом огне с добавлением соуса терияки, который делает их невероятно ароматными и нежными. Белый кунжут добавит нотку пикантности.;Салаты;null;1
77;baked_vegetables;Салат овощи на мангале;250;95;250;95;SALAD;false;Мы запекли овощи на мангале и приготовили из них салат. Получилось ярко и вкусно. Нарезанные ломтиками баклажан, несколько сортов болгарского перца, помидор, лук и другие овощи, красиво уложенные на тарелке, приправленные натуральными специями для вкуса так и ожидают, чтобы их попробовали.;Салаты;null;1
78;vegetable_salad;Салат овощной;250;95;250;95;SALAD;false;Легкий салат из свежих овощей с помидором, огурцом, болгарским перцем и крымским луком. Все овощи хорошо сочетаются друг с другом и легко усваиваются. Они аккуратно нарезаются, приправляются и подаются с листом салата, который украшает блюдо.;Салаты;null;1
79;greek_salad;Салат Греческий;250;100;250;100;SALAD;false;Классический греческий салат на основе из свежих овощей с сыром фета и маслинами, заправленный оливковым маслом с прованскими травами. Его оценят как вегетарианцы, так и те, кто хочет немного разнообразить мясной ужин. Салат отлично подходит как дополнение к шашлыку.;Салаты;null;1
80;caesar_salad;Салат Цезарь;250;120;250;120;SALAD;false;Классический салат Цезарь с куриным филе, перепелиным яйцом и сухариками. Свежести и сочности в блюдо добавляют помидоры черри и салат айсберг, оригинальности вкуса - пармезан и соус Цезарь. ;Салаты;null;1
81;uzvar;Узвар;1;70;1;70;BEVERAGES;false;null;Напитки;null;1
82;bonaqua;Bonaqua 0.5 Л;0.5;25;0.5;25;BEVERAGES;false;null;Напитки;null;1
83;bonaqua;Bonaqua 1 Л;1;40;1;40;BEVERAGES;false;null;Напитки;null;1
84;borjomi;Borjomi 0.5 Л;0.5;60;0.5;60;BEVERAGES;false;null;Напитки;null;1
85;coca_cola;Coca Cola 0.5 Л;0.5;25;0.5;25;BEVERAGES;false;null;Напитки;null;1
86;coca_cola;Coca Cola 1 Л;1;40;1;40;BEVERAGES;false;null;Напитки;null;1
87;fanta;Fanta 0.5 Л;0.5;25;0.5;25;BEVERAGES;false;null;Напитки;null;1
88;fanta;Fanta 1 Л;1;40;1;40;BEVERAGES;false;null;Напитки;null;1
89;sprite;Sprite 0.5 Л;0.5;25;0.5;25;BEVERAGES;false;null;Напитки;null;1
90;sprite;Sprite 1 Л;1;40;1;40;BEVERAGES;false;null;Напитки;null;1
91;jaffa_juice_orange;Сок JAFFA Апельсин;1;60;1;60;BEVERAGES;false;null;Напитки;null;1
92;jaffa_juice_tomato;Сок JAFFA Томатный;1;60;1;60;BEVERAGES;false;null;Напитки;null;1
93;ayran_025l;Айран 0.25 Л;0.25;20;0.25;20;BEVERAGES;false;null;Напитки;null;1
94;ayran_05l;Айран 0.5 Л;0.5;40;0.5;40;BEVERAGES;false;null;Напитки;null;1
95;pickled_lamb;Баранина маринованная;100;60;100;60;PICKLED_MEAT;false;Мы замариновали для вас баранину, чтобы вы могли с легкостью приготовить из нее шашлык. Это выгодное предложение, если: вы еще ни разу не готовили баранину, хотите попробовать, но боитесь испортить. Готовите этот вид мяса редко и до сих пор не подобрали подходящий маринад. Хотите блеснуть своими умениями и приготовить шашлык, как профессионал. Мы предлагаем: нежное мясо молодых барашков с упругой фактурой. Маринад, который раскроет особенности тонкого вкуса и аромата баранины.;Маринованое мясо;null;1
